uid,nces_school_id,school,nces_district_id,district_name,date,school_year,year,time,day_of_week,city,state,school_type,enrollment,killed,injured,casualties,shooting_type,age_shooter1,gender_shooter1,race_ethnicity_shooter1,shooter_relationship1,shooter_deceased1,deceased_notes1,age_shooter2,gender_shooter2,race_ethnicity_shooter2,shooter_relationship2,shooter_deceased2,deceased_notes2,white,black,hispanic,asian,american_indian_alaska_native,hawaiian_native_pacific_islander,two_or_more,resource_officer,weapon,weapon_source,lat,long,staffing,low_grade,high_grade,lunch,county,state_fips,county_fips,ulocale,School,Year,Date,Time,City,State,Killed,Injured,Longitude,Latitude,School.1,Year.1,Date.1,Time.1,City.1,State.1,Killed.1,Injured.1,Longitude.1,Latitude.1,School,Year,Date,Time,City,State,Killed,Injured,Longitude,Latitude
90,170993000943,Chicago Vocational Career Academy,1709930.0,City Of Chicago Sd 299,4/9/2007,2006-2007,2007,2:30 PM,Monday,Chicago,Illinois,public,2020,0,1,1,accidental,15.0,m,,student,0.0,,,,,,,,2.0,1993.0,7,0.0,1.0,,,0,9mm handgun,,41.7372,-87.57236,105.0,9,12,1930,Cook County,17,17031,11.0,Chicago Vocational Career Academy,2007,4/9/2007,2:30 PM,Chicago,Illinois,0,1,-87.57236,41.7372,Chicago Vocational Career Academy,2007,4/9/2007,2:30 PM,Chicago,Illinois,0,1,-87.57236,41.7372,Chicago Vocational Career Academy,2007,4/9/2007,2:30 PM,Chicago,Illinois,0,1,-87.57236,41.7372
91,410600004183,Springwater Trail High School,4106000.0,Gresham-Barlow Sd 10J,4/10/2007,2006-2007,2007,2:15 PM,Tuesday,Gresham,Oregon,public,163,0,10,10,indiscriminate,15.0,m,,student,0.0,,,,,,,,133.0,3.0,17,3.0,4.0,,,0,.270 Winchester rifle with scope,stepfather,45.48655,-122.40894,11.8,9,12,51,Multnomah County,41,41051,21.0,Springwater Trail High School,2007,4/10/2007,2:15 PM,Gresham,Oregon,0,10,-122.40894,45.48655,Springwater Trail High School,2007,4/10/2007,2:15 PM,Gresham,Oregon,0,10,-122.40894,45.48655,Springwater Trail High School,2007,4/10/2007,2:15 PM,Gresham,Oregon,0,10,-122.40894,45.48655
92,482829010477,Liberty Memorial Middle School,4828290.0,Los Fresnos CISD,5/15/2007,2006-2007,2007,10:00 AM,Tuesday,Los Fresnos,Texas,public,505,0,0,0,indiscriminate,14.0,m,,student,0.0,,,,,,,,18.0,0.0,487,0.0,0.0,,,0,.38 semiautomatic handgun,father,26.1106,-97.5108,35.0,6,8,187,Cameron County,48,48061,41.0,Liberty Memorial Middle School,2007,5/15/2007,10:00 AM,Los Fresnos,Texas,0,0,-97.5108,26.1106,Liberty Memorial Middle School,2007,5/15/2007,10:00 AM,Los Fresnos,Texas,0,0,-97.5108,26.1106,Liberty Memorial Middle School,2007,5/15/2007,10:00 AM,Los Fresnos,Texas,0,0,-97.5108,26.1106
93,120087003862,George S. Middleton High School,1200870.0,Hillsborough,6/6/2007,2006-2007,2007,12:00 PM,Wednesday,Tampa,Florida,public,1799,0,0,0,targeted,17.0,m,,former student,0.0,,,,,,,,268.0,1256.0,202,29.0,4.0,,,1,.22-caliber handgun,,27.99133,-82.43267,91.0,9,12,1091,Hillsborough County,12,12057,11.0,George S. Middleton High School,2007,6/6/2007,12:00 PM,Tampa,Florida,0,0,-82.43267,27.99133,George S. Middleton High School,2007,6/6/2007,12:00 PM,Tampa,Florida,0,0,-82.43267,27.99133,George S. Middleton High School,2007,6/6/2007,12:00 PM,Tampa,Florida,0,0,-82.43267,27.99133
94,390437804449,SuccessTech Academy,3904378.0,Cleveland Municipal City,10/10/2007,2007-2008,2007,1:15 PM,Wednesday,Cleveland,Ohio,public,260,0,4,4,indiscriminate,14.0,m,,student,1.0,suicide,,,,,,,22.0,227.0,9,0.0,1.0,,,1,".22-caliber revolver, .38-caliber revolver",,41.50762,-81.6869,14.0,9,12,,Cuyahoga County,39,39035,11.0,SuccessTech Academy,2007,10/10/2007,1:15 PM,Cleveland,Ohio,0,4,-81.6869,41.50762,SuccessTech Academy,2007,10/10/2007,1:15 PM,Cleveland,Ohio,0,4,-81.6869,41.50762,SuccessTech Academy,2007,10/10/2007,1:15 PM,Cleveland,Ohio,0,4,-81.6869,41.50762
95,130102000413,Groves High School,1301020.0,Chatham County,10/15/2007,2007-2008,2007,2:45 PM,Monday,Garden City,Georgia,public,1534,0,0,0,targeted,,m,,,0.0,,,,,,,,381.0,997.0,89,37.0,3.0,,,0,,,32.10841,-81.15661,90.0,9,12,799,Chatham County,13,13051,22.0,Groves High School,2007,10/15/2007,2:45 PM,Garden City,Georgia,0,0,-81.15661,32.10841,Groves High School,2007,10/15/2007,2:45 PM,Garden City,Georgia,0,0,-81.15661,32.10841,Groves High School,2007,10/15/2007,2:45 PM,Garden City,Georgia,0,0,-81.15661,32.10841
96,370012202591,Crossroads Charter High School,3700122.0,Crossroads Charter High,1/16/2008,2007-2008,2008,10:15 AM,Wednesday,Charlotte,North Carolina,public,244,0,1,1,accidental,16.0,m,b,student,0.0,,,,,,,,5.0,230.0,8,0.0,1.0,,,0,,,35.26039,-80.77591,13.0,9,12,,Mecklenburg County,37,37119,11.0,Crossroads Charter High School,2008,1/16/2008,10:15 AM,Charlotte,North Carolina,0,1,-80.77591,35.26039,Crossroads Charter High School,2008,1/16/2008,10:15 AM,Charlotte,North Carolina,0,1,-80.77591,35.26039,Crossroads Charter High School,2008,1/16/2008,10:15 AM,Charlotte,North Carolina,0,1,-80.77591,35.26039
97,470294001080,Hamilton High School,4702940.0,Memphis City School District,2/4/2008,2007-2008,2008,10:00 AM,Monday,Memphis,Tennessee,public,1581,0,1,1,targeted,16.0,m,,student,0.0,,,,,,,,4.0,1577.0,0,0.0,0.0,,,0,380-caliber handgun,,35.10069,-90.0174,87.9,9,12,863,Shelby County,47,47157,11.0,Hamilton High School,2008,2/4/2008,10:00 AM,Memphis,Tennessee,0,1,-90.0174,35.10069,Hamilton High School,2008,2/4/2008,10:00 AM,Memphis,Tennessee,0,1,-90.0174,35.10069,Hamilton High School,2008,2/4/2008,10:00 AM,Memphis,Tennessee,0,1,-90.0174,35.10069
98,1059778,Notre Dame Elementary School,,,2/7/2008,2007-2008,2008,9:12 AM,Thursday,Portsmouth,Ohio,private,166,0,1,1,targeted,56.0,m,w,spouse of teacher,1.0,suicide,,,,,,,158.0,3.0,1,0.0,4.0,,,0,,,38.735563,-82.986607,14.0,PK,6,,Scioto County,39,39145,31.0,Notre Dame Elementary School,2008,2/7/2008,9:12 AM,Portsmouth,Ohio,0,1,-82.986607,38.735563,Notre Dame Elementary School,2008,2/7/2008,9:12 AM,Portsmouth,Ohio,0,1,-82.986607,38.735563,Notre Dame Elementary School,2008,2/7/2008,9:12 AM,Portsmouth,Ohio,0,1,-82.986607,38.735563
99,470294001122,Mitchell High School,4702940.0,Memphis City School District,2/11/2008,2007-2008,2008,9:00 AM,Monday,Memphis,Tennessee,public,1110,0,1,1,targeted,17.0,m,,student,0.0,,,,,,,,0.0,1109.0,0,1.0,0.0,,,1,.22-caliber pistol,purchased from someone in apartment complex,35.05595,-90.08589,53.8,9,12,787,Shelby County,47,47157,11.0,Mitchell High School,2008,2/11/2008,9:00 AM,Memphis,Tennessee,0,1,-90.08589,35.05595,Mitchell High School,2008,2/11/2008,9:00 AM,Memphis,Tennessee,0,1,-90.08589,35.05595,Mitchell High School,2008,2/11/2008,9:00 AM,Memphis,Tennessee,0,1,-90.08589,35.05595
100,061785002199,E.O. Green Junior High School,617850.0,Hueneme Elementary,2/12/2008,2007-2008,2008,8:15 AM,Tuesday,Oxnard,California,public,1065,1,0,1,targeted,14.0,m,,student,0.0,,,,,,,,125.0,49.0,829,58.0,4.0,,,0,.22-caliber handgun,relative,34.16568,-119.1814,50.0,6,8,775,Ventura County,6,6111,12.0,E.O. Green Junior High School,2008,2/12/2008,8:15 AM,Oxnard,California,1,0,-119.1814,34.16568,E.O. Green Junior High School,2008,2/12/2008,8:15 AM,Oxnard,California,1,0,-119.1814,34.16568,E.O. Green Junior High School,2008,2/12/2008,8:15 AM,Oxnard,California,1,0,-119.1814,34.16568
101,,Friends of Children Head Start center,,,3/18/2008,2007-2008,2008,1:00 PM,Tuesday,Carthage,Mississippi,private,100,1,1,2,targeted,23.0,,,,,,,,,,,,,,,,,,,0,.45-caliber handgun,,,,,PK,PK,,Leake County,28,28079,32.0,Friends of Children Head Start center,2008,3/18/2008,1:00 PM,Carthage,Mississippi,1,1,,,Friends of Children Head Start center,2008,3/18/2008,1:00 PM,Carthage,Mississippi,1,1,,,Friends of Children Head Start center,2008,3/18/2008,1:00 PM,Carthage,Mississippi,1,1,,
102,061455001762,Roosevelt High School,614550.0,Fresno Unified,4/16/2008,2007-2008,2008,11:54 AM,Wednesday,Fresno,California,public,2735,1,0,1,targeted,38.0,m,,resource officer,0.0,,,,,,,,130.0,112.0,2039,444.0,10.0,,,1,pistol,department issued,36.74302,-119.7537,137.6,9,12,2466,Fresno County,6,6019,11.0,Roosevelt High School,2008,4/16/2008,11:54 AM,Fresno,California,1,0,-119.7537,36.74302,Roosevelt High School,2008,4/16/2008,11:54 AM,Fresno,California,1,0,-119.7537,36.74302,Roosevelt High School,2008,4/16/2008,11:54 AM,Fresno,California,1,0,-119.7537,36.74302
103,470222000775,Central High School,4702220.0,Knox County School District,8/21/2008,2008-2009,2008,8:10 AM,Thursday,Knoxville,Tennessee,public,1210,1,0,1,targeted,15.0,m,,student,0.0,,,,,,,,872.0,254.0,55,25.0,4.0,,,1,"small-caliber, semiautomatic pistol",,36.0392,-83.9216,79.5,9,12,569,Knox County,47,47093,12.0,Central High School,2008,8/21/2008,8:10 AM,Knoxville,Tennessee,1,0,-83.9216,36.0392,Central High School,2008,8/21/2008,8:10 AM,Knoxville,Tennessee,1,0,-83.9216,36.0392,Central High School,2008,8/21/2008,8:10 AM,Knoxville,Tennessee,1,0,-83.9216,36.0392
104,120018000169,Dillard High School,1200180.0,Broward,11/12/2008,2008-2009,2008,11:00 AM,Wednesday,Fort Lauderdale,Florida,public,1758,1,0,1,targeted,15.0,f,b,student,0.0,,,,,,,,80.0,1576.0,76,6.0,1.0,,,1,.22-caliber semi-automatic handgun,family member,26.1383,-80.176,149.4,9,12,1193,Broward County,12,12011,12.0,Dillard High School,2008,11/12/2008,11:00 AM,Fort Lauderdale,Florida,1,0,-80.176,26.1383,Dillard High School,2008,11/12/2008,11:00 AM,Fort Lauderdale,Florida,1,0,-80.176,26.1383,Dillard High School,2008,11/12/2008,11:00 AM,Fort Lauderdale,Florida,1,0,-80.176,26.1383
105,261200004670,Central High School,2612000.0,Detroit City School District,2/17/2009,2008-2009,2009,2:00 PM,Tuesday,Detroit,Michigan,public,919,0,2,2,targeted,17.0,m,,non-student,0.0,,,,,,,,4.0,913.0,0,0.0,2.0,,,1,handgun,,42.3837,-83.1115,57.2,9,12,640,Wayne County,26,26163,11.0,Central High School,2009,2/17/2009,2:00 PM,Detroit,Michigan,0,2,-83.1115,42.3837,Central High School,2009,2/17/2009,2:00 PM,Detroit,Michigan,0,2,-83.1115,42.3837,Central High School,2009,2/17/2009,2:00 PM,Detroit,Michigan,0,2,-83.1115,42.3837
106,061674002125,John Muir Elementary School,616740.0,Hayward Unified,2/20/2009,2008-2009,2009,12:00 PM,Friday,Hayward,California,public,354,0,0,0,targeted,,h,m,,0.0,,,,,,,,13.0,54.0,252,34.0,1.0,,,0,shotgun,,37.6566,-122.083,20.4,KG,6,,Alameda County,6,6001,12.0,John Muir Elementary School,2009,2/20/2009,12:00 PM,Hayward,California,0,0,-122.083,37.6566,John Muir Elementary School,2009,2/20/2009,12:00 PM,Hayward,California,0,0,-122.083,37.6566,John Muir Elementary School,2009,2/20/2009,12:00 PM,Hayward,California,0,0,-122.083,37.6566
107,120048000691,Ribault High School,1200480.0,Duval,3/10/2009,2008-2009,2009,7:22 AM,Tuesday,Jacksonville,Florida,public,1131,0,0,0,targeted,,,,,0.0,,,,,,,,53.0,1051.0,15,2.0,0.0,,,0,,,30.3895,-81.707,67.4,9,12,609,Duval County,12,12031,11.0,Ribault High School,2009,3/10/2009,7:22 AM,Jacksonville,Florida,0,0,-81.707,30.3895,Ribault High School,2009,3/10/2009,7:22 AM,Jacksonville,Florida,0,0,-81.707,30.3895,Ribault High School,2009,3/10/2009,7:22 AM,Jacksonville,Florida,0,0,-81.707,30.3895
108,220090000711,Larose-Cut Off Middle School,2200900.0,Lafourche Parish,5/18/2009,2008-2009,2009,9:00 AM,Monday,Larose,Louisiana,public,512,0,0,0,targeted,15.0,m,,student,1.0,suicide,,,,,,,405.0,28.0,23,15.0,41.0,,,0,25-caliber nickel plate semi-automatic,father,29.5004,-90.3295,37.8,6,8,265,Lafourche Parish,22,22057,41.0,Larose-Cut Off Middle School,2009,5/18/2009,9:00 AM,Larose,Louisiana,0,0,-90.3295,29.5004,Larose-Cut Off Middle School,2009,5/18/2009,9:00 AM,Larose,Louisiana,0,0,-90.3295,29.5004,Larose-Cut Off Middle School,2009,5/18/2009,9:00 AM,Larose,Louisiana,0,0,-90.3295,29.5004
109,090003101405,Stamford Academy,900031.0,Stamford Academy,9/8/2009,2009-2010,2009,8:05 AM,Tuesday,Stamford,Connecticut,public,131,0,0,0,targeted,16.0,m,,student,0.0,,,,,,,,7.0,89.0,33,2.0,0.0,,,0,.22-caliber pistol,,41.059329,-73.536464,8.0,9,12,111,Fairfield County,9,9001,12.0,Stamford Academy,2009,9/8/2009,8:05 AM,Stamford,Connecticut,0,0,-73.536464,41.059329,Stamford Academy,2009,9/8/2009,8:05 AM,Stamford,Connecticut,0,0,-73.536464,41.059329,Stamford Academy,2009,9/8/2009,8:05 AM,Stamford,Connecticut,0,0,-73.536464,41.059329
110,510189000805,Virginia Randolph Community High School,5101890.0,Henrico Co Pblc Schs,9/16/2009,2009-2010,2009,12:30 PM,Wednesday,Glen Allen,Virginia,public,292,0,0,0,targeted,16.0,m,,student,0.0,,,,,,,,66.0,186.0,13,3.0,0.0,,,0,.40-caliber handgun,,37.661586,-77.483135,30.18,8,12,237,Henrico County,51,51087,21.0,Virginia Randolph Community High School,2009,9/16/2009,12:30 PM,Glen Allen,Virginia,0,0,-77.483135,37.661586,Virginia Randolph Community High School,2009,9/16/2009,12:30 PM,Glen Allen,Virginia,0,0,-77.483135,37.661586,Virginia Randolph Community High School,2009,9/16/2009,12:30 PM,Glen Allen,Virginia,0,0,-77.483135,37.661586
111,360002101704,Mattituck Junior-Senior High School,3600021.0,Mattituck-Cutchogue Union Free School District,10/8/2009,2009-2010,2009,2:00 PM,Thursday,Mattituck,New York,public,812,0,1,1,accidental,28.0,m,,,0.0,,,,,,,,736.0,24.0,43,8.0,0.0,0.0,0.0,0,22-caliber rifle,mother,40.996241,-72.529205,68.28,7,12,86,Suffolk County,36,36103,31.0,Mattituck Junior-Senior High School,2009,10/8/2009,2:00 PM,Mattituck,New York,0,1,-72.529205,40.996241,Mattituck Junior-Senior High School,2009,10/8/2009,2:00 PM,Mattituck,New York,0,1,-72.529205,40.996241,Mattituck Junior-Senior High School,2009,10/8/2009,2:00 PM,Mattituck,New York,0,1,-72.529205,40.996241
112,450249000244,Carolina Forest High School,4502490.0,Horry 01,10/16/2009,2009-2010,2009,8:25 AM,Friday,Conway,South Carolina,public,1958,1,0,1,targeted,,m,w,school resource officer,0.0,,,,,,,,1400.0,309.0,124,60.0,25.0,,,1,.40 caliber Glock,department issued,33.780761,-78.97152,102.5,9,12,901,Horry County,45,45051,41.0,Carolina Forest High School,2009,10/16/2009,8:25 AM,Conway,South Carolina,1,0,-78.97152,33.780761,Carolina Forest High School,2009,10/16/2009,8:25 AM,Conway,South Carolina,1,0,-78.97152,33.780761,Carolina Forest High School,2009,10/16/2009,8:25 AM,Conway,South Carolina,1,0,-78.97152,33.780761
113,220030000208,Booker T. Washington High School,2200300.0,Caddo Parish,12/11/2009,2009-2010,2009,8:10 AM,Friday,Shreveport,Louisiana,public,336,0,1,1,targeted,28.0,m,b,ex-boyfriend of student,0.0,,,,,,,,1.0,335.0,0,0.0,0.0,,,1,handgun,,32.503605,-93.77398,34.55,9,12,278,Caddo Parish,22,22017,12.0,Booker T. Washington High School,2009,12/11/2009,8:10 AM,Shreveport,Louisiana,0,1,-93.77398,32.503605,Booker T. Washington High School,2009,12/11/2009,8:10 AM,Shreveport,Louisiana,0,1,-93.77398,32.503605,Booker T. Washington High School,2009,12/11/2009,8:10 AM,Shreveport,Louisiana,0,1,-93.77398,32.503605
114,010000800495,Discovery Middle School,100008.0,Madison City,2/5/2010,2009-2010,2010,1:45 PM,Friday,Madison,Alabama,public,1000,1,0,1,targeted,14.0,m,a,student,0.0,,,,,,,,707.0,188.0,27,50.0,8.0,,,1,.22-caliber pistol,friend's home,34.740322,-86.741148,54.5,7,9,176,Madison County,1,1089,22.0,Discovery Middle School,2010,2/5/2010,1:45 PM,Madison,Alabama,1,0,-86.741148,34.740322,Discovery Middle School,2010,2/5/2010,1:45 PM,Madison,Alabama,1,0,-86.741148,34.740322,Discovery Middle School,2010,2/5/2010,1:45 PM,Madison,Alabama,1,0,-86.741148,34.740322
115,080480001315,Deer Creek Middle School,804800.0,Jefferson County School District No. R-1,2/23/2010,2009-2010,2010,3:14 PM,Tuesday,Littleton,Colorado,public,516,0,2,2,indiscriminate,32.0,m,w,,0.0,,,,,,,,436.0,7.0,46,23.0,4.0,,,0,hunting rifle,,39.5869,-105.102,28.2,7,8,60,Jefferson County,8,8059,21.0,Deer Creek Middle School,2010,2/23/2010,3:14 PM,Littleton,Colorado,0,2,-105.102,39.5869,Deer Creek Middle School,2010,2/23/2010,3:14 PM,Littleton,Colorado,0,2,-105.102,39.5869,Deer Creek Middle School,2010,2/23/2010,3:14 PM,Littleton,Colorado,0,2,-105.102,39.5869
116,510300001255,Woodrow Wilson High School,5103000.0,Portsmouth City Pblc Schs,4/28/2010,2009-2010,2010,12:15 PM,Wednesday,Portsmouth,Virginia,public,1309,0,0,0,indiscriminate,15.0,m,b,student,0.0,,,,,,,,446.0,818.0,22,19.0,4.0,,,0,handgun,,36.815009,-76.381349,64.33,9,12,695,Portsmouth City,51,51740,12.0,Woodrow Wilson High School,2010,4/28/2010,12:15 PM,Portsmouth,Virginia,0,0,-76.381349,36.815009,Woodrow Wilson High School,2010,4/28/2010,12:15 PM,Portsmouth,Virginia,0,0,-76.381349,36.815009,Woodrow Wilson High School,2010,4/28/2010,12:15 PM,Portsmouth,Virginia,0,0,-76.381349,36.815009
117,062271003364,South Gate High School,622710.0,Los Angeles Unified,5/18/2010,2009-2010,2010,7:51 AM,Tuesday,South Gate,California,public,3289,0,1,1,targeted,15.0,m,,student,0.0,,,,,,,,12.0,11.0,3251,3.0,10.0,0.0,2.0,0,,,33.954604,-118.209757,126.1,9,12,2373,Los Angeles County,6,6037,21.0,South Gate High School,2010,5/18/2010,7:51 AM,South Gate,California,0,1,-118.209757,33.954604,South Gate High School,2010,5/18/2010,7:51 AM,South Gate,California,0,1,-118.209757,33.954604,South Gate High School,2010,5/18/2010,7:51 AM,South Gate,California,0,1,-118.209757,33.954604
118,470399001624,Sullivan Central High School,4703990.0,Sullivan County,8/30/2010,2010-2011,2010,9:10 AM,Monday,Blountville,Tennessee,public,1115,1,0,1,targeted,,,,police officer,0.0,,,,,,,,1097.0,7.0,6,3.0,1.0,0.0,1.0,1,handgun,department issued,36.531336,-82.387049,67.7,9,12,386,Sullivan County,47,47163,41.0,Sullivan Central High School,2010,8/30/2010,9:10 AM,Blountville,Tennessee,1,0,-82.387049,36.531336,Sullivan Central High School,2010,8/30/2010,9:10 AM,Blountville,Tennessee,1,0,-82.387049,36.531336,Sullivan Central High School,2010,8/30/2010,9:10 AM,Blountville,Tennessee,1,0,-82.387049,36.531336
119,450249000639,Socastee High School,4502490.0,Horry 01,9/21/2010,2010-2011,2010,2:00 PM,Tuesday,Conway,South Carolina,public,1453,0,1,1,targeted,14.0,m,w,student,0.0,,,,,,,,1143.0,119.0,98,37.0,1.0,5.0,50.0,1,revolver,parent,33.6788,-79.004328,80.8,9,12,678,Horry County,45,45051,22.0,Socastee High School,2010,9/21/2010,2:00 PM,Conway,South Carolina,0,1,-79.004328,33.6788,Socastee High School,2010,9/21/2010,2:00 PM,Conway,South Carolina,0,1,-79.004328,33.6788,Socastee High School,2010,9/21/2010,2:00 PM,Conway,South Carolina,0,1,-79.004328,33.6788
120,063398005332,Alisal High School,633980.0,Salinas Union High,10/1/2010,2010-2011,2010,7:53 AM,Friday,Salinas,California,public,2478,1,0,1,targeted,,m,,,0.0,,,,,,,,14.0,10.0,2420,28.0,1.0,5.0,0.0,0,,,36.686184,-121.595961,,3,12,1869,Monterey County,6,6053,12.0,Alisal High School,2010,10/1/2010,7:53 AM,Salinas,California,1,0,-121.595961,36.686184,Alisal High School,2010,10/1/2010,7:53 AM,Salinas,California,1,0,-121.595961,36.686184,Alisal High School,2010,10/1/2010,7:53 AM,Salinas,California,1,0,-121.595961,36.686184
121,060750000711,Kelly Elementary School,607500.0,Carlsbad Unified,10/8/2010,2010-2011,2010,12:00 PM,Friday,Carlsbad,California,public,477,0,2,2,indiscriminate,41.0,m,w,none,0.0,,,,,,,,314.0,12.0,67,36.0,3.0,0.0,45.0,0,.357-caliber magnum revolver,,33.14836,-117.311227,,KG,5,45,San Diego County,6,6073,12.0,Kelly Elementary School,2010,10/8/2010,12:00 PM,Carlsbad,California,0,2,-117.311227,33.14836,Kelly Elementary School,2010,10/8/2010,12:00 PM,Carlsbad,California,0,2,-117.311227,33.14836,Kelly Elementary School,2010,10/8/2010,12:00 PM,Carlsbad,California,0,2,-117.311227,33.14836
122,550870000995,Marinette High School,5508700.0,Marinette School District,11/29/2010,2010-2011,2010,1:30 PM,Monday,Marinette,Wisconsin,public,690,0,0,0,hostage suicide,15.0,m,w,student,1.0,suicide,,,,,,,658.0,4.0,17,2.0,8.0,1.0,0.0,0,handgun,,45.084351,-87.629512,44.69,9,12,283,Marinette County,55,55075,41.0,Marinette High School,2010,11/29/2010,1:30 PM,Marinette,Wisconsin,0,0,-87.629512,45.084351,Marinette High School,2010,11/29/2010,1:30 PM,Marinette,Wisconsin,0,0,-87.629512,45.084351,Marinette High School,2010,11/29/2010,1:30 PM,Marinette,Wisconsin,0,0,-87.629512,45.084351
123,317374001251,Millard South High School,3173740.0,Millard Public Schools,1/5/2011,2010-2011,2011,12:45 PM,Wednesday,Omaha,Nebraska,public,2043,1,2,3,targeted and indiscriminate,17.0,m,b,student,1.0,suicide,,,,,,,1668.0,79.0,186,32.0,12.0,6.0,60.0,0,Glock .40-caliber S&W pistol,father,41.203481,-96.146049,135.5,9,12,475,Douglas County,31,31055,11.0,Millard South High School,2011,1/5/2011,12:45 PM,Omaha,Nebraska,1,2,-96.146049,41.203481,Millard South High School,2011,1/5/2011,12:45 PM,Omaha,Nebraska,1,2,-96.146049,41.203481,Millard South High School,2011,1/5/2011,12:45 PM,Omaha,Nebraska,1,2,-96.146049,41.203481
124,062271003034,Gardena High School,622710.0,Los Angeles Unified,1/18/2011,2010-2011,2011,10:40 AM,Tuesday,Los Angeles,California,public,2299,0,2,2,accidental,17.0,m,,student,0.0,,,,,,,,22.0,610.0,1490,140.0,9.0,,,0,9-mm Beretta handgun,,33.866372,-118.29633,,8,12,1556,Los Angeles County,6,6037,13.0,Gardena High School,2011,1/18/2011,10:40 AM,Los Angeles,California,0,2,-118.29633,33.866372,Gardena High School,2011,1/18/2011,10:40 AM,Los Angeles,California,0,2,-118.29633,33.866372,Gardena High School,2011,1/18/2011,10:40 AM,Los Angeles,California,0,2,-118.29633,33.866372
125,063078004786,Louisiana Schnell Elementary School,630780.0,Placerville Union Elementary,2/2/2011,2010-2011,2011,10:37 AM,Wednesday,Placerville,California,public,424,1,0,1,targeted,44.0,m,w,janitor,0.0,,,,,,,,259.0,2.0,121,3.0,8.0,0.0,31.0,0,.357-caliber revolver,legally purchased by shooter,38.735106,-120.779419,,KG,5,264,El Dorado County,6,6017,32.0,Louisiana Schnell Elementary School,2011,2/2/2011,10:37 AM,Placerville,California,1,0,-120.779419,38.735106,Louisiana Schnell Elementary School,2011,2/2/2011,10:37 AM,Placerville,California,1,0,-120.779419,38.735106,Louisiana Schnell Elementary School,2011,2/2/2011,10:37 AM,Placerville,California,1,0,-120.779419,38.735106
126,180651001136,Martinsville West Middle,1806510.0,M S D Martinsville Schools,3/25/2011,2010-2011,2011,7:00 AM,Friday,Martinsville,Indiana,public,584,0,1,1,targeted,15.0,m,w,former student (expelled),0.0,,,,,,,,555.0,0.0,13,2.0,2.0,0.0,12.0,0,9mm handgun,friend's home,39.420621,-86.427053,38.97,6,8,354,Morgan County,18,18109,31.0,Martinsville West Middle,2011,3/25/2011,7:00 AM,Martinsville,Indiana,0,1,-86.427053,39.420621,Martinsville West Middle,2011,3/25/2011,7:00 AM,Martinsville,Indiana,0,1,-86.427053,39.420621,Martinsville West Middle,2011,3/25/2011,7:00 AM,Martinsville,Indiana,0,1,-86.427053,39.420621
127,120144003884,Sheeler Charter High School,1201440.0,Orange,4/13/2011,2010-2011,2011,12:00 PM,Wednesday,Apopka,Florida,public,465,0,1,1,accidental,17.0,m,b,,0.0,,,,,,,,104.0,250.0,101,2.0,1.0,0.0,7.0,1,,,28.673157,-81.494124,7.0,9,12,183,Orange County,12,12065,21.0,Sheeler Charter High School,2011,4/13/2011,12:00 PM,Apopka,Florida,0,1,-81.494124,28.673157,Sheeler Charter High School,2011,4/13/2011,12:00 PM,Apopka,Florida,0,1,-81.494124,28.673157,Sheeler Charter High School,2011,4/13/2011,12:00 PM,Apopka,Florida,0,1,-81.494124,28.673157
128,482364002572,Ross Elementary School,4823640.0,Houston ISD,4/19/2011,2010-2011,2011,10:20 AM,Tuesday,Houston,Texas,public,462,0,2,2,accidental,6.0,m,,student,0.0,,,,,,,,1.0,301.0,145,2.0,9.0,1.0,3.0,0,.380-caliber semi-automatic,"mother's friend, home shooter was staying",29.800326,-95.341835,27.32,PK,5,263,Harris County,48,48201,11.0,Ross Elementary School,2011,4/19/2011,10:20 AM,Houston,Texas,0,2,-95.341835,29.800326,Ross Elementary School,2011,4/19/2011,10:20 AM,Houston,Texas,0,2,-95.341835,29.800326,Ross Elementary School,2011,4/19/2011,10:20 AM,Houston,Texas,0,2,-95.341835,29.800326
129,370001100402,Cape Fear High School,3700011.0,Cumberland County Schools,10/24/2011,2011-2012,2011,1:00 PM,Monday,Fayetteville,North Carolina,public,1575,0,1,1,targeted,15.0,m,,student,0.0,,,,,,,,913.0,437.0,83,9.0,71.0,3.0,59.0,0,.22-caliber Daisy rifle,,35.034044,-78.762384,93.86,9,12,690,Cumberland County,37,37051,41.0,Cape Fear High School,2011,10/24/2011,1:00 PM,Fayetteville,North Carolina,0,1,-78.762384,35.034044,Cape Fear High School,2011,10/24/2011,1:00 PM,Fayetteville,North Carolina,0,1,-78.762384,35.034044,Cape Fear High School,2011,10/24/2011,1:00 PM,Fayetteville,North Carolina,0,1,-78.762384,35.034044
130,481168000648,Cummings Middle School,4811680.0,Brownsville ISD,1/4/2012,2011-2012,2012,8:00 AM,Wednesday,Brownsville,Texas,public,746,1,0,1,targeted,,m,,police officer,0.0,,,,,,,,3.0,0.0,742,0.0,1.0,0.0,0.0,0,,department issued,25.913899,-97.493734,49.47,6,8,0,Cameron County,48,48061,12.0,Cummings Middle School,2012,1/4/2012,8:00 AM,Brownsville,Texas,1,0,-97.493734,25.913899,Cummings Middle School,2012,1/4/2012,8:00 AM,Brownsville,Texas,1,0,-97.493734,25.913899,Cummings Middle School,2012,1/4/2012,8:00 AM,Brownsville,Texas,1,0,-97.493734,25.913899
