School,Type,Date,City,State,Time,Latitude,Longitude
Northwestern High School,High,1973-10-31,St. Louis,MO,,38.6280278,-90.1910154
Woodell Phillips High School,High,1973-11-08,Chicago,IL,10:00 AM,41.8755616,-87.6244212
Long Beach Polytechnic High School,High,1973-11-09,Los Angeles,CA,,34.0536909,-118.242766
Fremont High School,High,1973-12-06,Los Angeles,CA,,34.0536909,-118.242766
Hughes High School,High,1973-12-13,Cincinnati,OH,1:10 PM,39.1014537,-84.5124602
Barton Elementary School,Elementary,1974-01-17,Chicago,IL,,41.8755616,-87.6244212
Locke High School,High,1974-01-22,Los Angeles,CA,,34.0536909,-118.242766
James Madison Junior High School,Junior High,1974-02-07,Oakland,CA,,37.8044557,-122.271356
Brownstown Central High School,High,1974-03-22,Brownstown,IN,8:00 AM,38.3808917,-86.5030407
St. Stephen's Parochial School,Other,1974-04-02,Bridgeport,CT,1:15 PM,41.1792695,-73.1887863
Church Hill High School,High,1974-05-10,Rogersville,TN,,36.407317,-83.0054423
Highlands Elementary School,Elementary,1974-05-19,Orlando,FL,,28.5421109,-81.3790304
Jefferson High School,High,1974-09-23,Daly City,CA,,37.6904826,-122.47267
San Fernando High School,High,1974-09-25,Los Angeles,CA,,34.0536909,-118.242766
Destrehan High School,High,1974-10-07,Hahnville,LA,,29.9765931,-90.4089708
Douglass High School,High,1974-10-21,Baltimore,MD,,39.2908816,-76.610759
C A Brown High School,High,1974-11-18,Charleston,SC,3:00 PM,32.7884363,-79.9399309
Booker Junior High School,Junior High,1974-11-21,Little Rock,AR,1:30 PM,34.7465071,-92.2896267
C A Brown High School,High,1974-11-25,Charleston,SC,3:00 PM,32.7884363,-79.9399309
Manual Arts High School,High,1974-12-18,Los Angeles,CA,12:00 PM,34.0536909,-118.242766
Olean High School,High,1974-12-30,Olean,NY,3:00 PM,42.0775022,-78.4298248
Board of Cooperative Educational Services,Other,1975-02-07,Mineola,NY,,40.7492678,-73.6406845
St. James School,K-8,1975-02-24,Penns Grove,NJ,,39.7295581,-75.4679734
Jones High School,High,1975-03-12,Houston,TX,,29.7589382,-95.3676974
Sumner High School,High,1975-03-18,St. Louis,MO,,38.6280278,-90.1910154
Fairmount Elementary School,Elementary,1975-03-21,Richmond,VA,12:00 PM,37.5385087,-77.43428
Patterson Cooperative High School,High,1975-03-21,Dayton,OH,,39.7589478,-84.1916069
Rock Junior High School,Junior High,1975-05-15,St. Louis,MO,12:30 PM,38.6280278,-90.1910154
Pitcher School,Elementary,1975-05-27,Detroit,MI,,42.3315509,-83.0466403
Dett Elementary School,Elementary,1975-07-09,Chicago,IL,8:15 AM,41.8755616,-87.6244212
Central High School,High,1975-07-11,St. Louis,MO,7:35 AM,38.6280278,-90.1910154
Grant High School,High,1975-09-11,Oklahoma City,OK,,35.4729886,-97.5170536
Hermosa Elementary School,Elementary,1975-10-01,Artesia,NM,8:00 AM,32.8423345,-104.4032963
Murphy High School,High,1975-10-24,Atlanta,GA,,33.7489924,-84.3902644
Orange High School,High,1975-12-18,Santa Ana,CA,12:00 PM,33.7494951,-117.873221
Camelback High School,High,1976-01-01,Phoenix,AZ,,33.4484367,-112.074141
Columbus Central High School,High,1976-01-23,Columbus,OH,2:20 PM,39.9622601,-83.0007065
Escambia High School,High,1976-02-06,Pensacola,FL,,30.421309,-87.2169149
Murray-Wright High School,High,1976-02-12,Detroit,MI,,42.3315509,-83.0466403
O D Wyatt High School,High,1976-04-12,Fort Worth,TX,,32.753177,-97.3327459
Mark Twain School,Elementary,1976-05-13,St. Louis,MO,,38.6280278,-90.1910154
Palm Beach Gardens High School,High,1976-05-14,West Palm Beach,FL,12:00 PM,26.715364,-80.0532942
Mt. Savage High School,High,1976-06-02,Cumberland,MD,11:45 AM,39.6526498,-78.762383
Guildord County School Bus,,1976-09-20,Greensboro,NC,,36.0726355,-79.7919754
Burt Elementary School,Elementary,1976-11-10,Detroit,MI,,42.3315509,-83.0466403
Fremont School,Elementary,1976-12-10,St. Louis,MO,,38.6280278,-90.1910154
Old Main Eisenhower High School,High,1977-01-13,Blue Island,IL,7:30 AM,41.6573014,-87.679871
Fenger High School,High,1977-02-09,Chicago,IL,,41.8755616,-87.6244212
Horace Mann Junior High School,Junior High,1977-02-28,Amarillo,TX,,35.2072185,-101.833824
Roosevelt High School,High,1977-02-28,St. Louis,MO,,38.6280278,-90.1910154
Collinsville High School,High,1977-03-08,Edwardsville,IL,12:35 PM,38.8114364,-89.953157
Parochial School,Other,1977-03-21,Hamburg,NY,,42.716293,-78.828717
Whitharral High School,High,1977-04-07,Whitharral,TX,9:00 AM,33.7375948,-102.3271221
Pioneer Christian Academy,Other,1977-04-18,Nashville,TN,9:00 AM,36.1622767,-86.7742984
Stone Middle School,Middle,1977-05-17,Cocoa,FL,8:15 PM,28.3553873,-80.7318827
Holy Trinity High School,High,1977-06-22,Chicago,IL,,41.8755616,-87.6244212
South Junior High School,Junior High,1977-07-11,Colorado Springs,CO,,38.8339578,-104.825348
Hazelwood Central Senior High School,High,1977-11-29,St. Louis,MO,7:05 PM,38.6280278,-90.1910154
Vashon High School,High,1977-11-29,St. Louis,MO,,38.6280278,-90.1910154
Petaluma McNear Elementary,Elementary,1977-12-09,Santa Rosa,CA,,38.4404925,-122.7141049
West Orange High School,High,1977-12-12,Winter Garden,FL,4:00 PM,28.5656649,-81.5856742
Blue Hills Vocational High School,High,1977-12-15,Canton,MA,,42.1584324,-71.1447732
Christian County Middle School,Middle,1978-01-11,Hopkinsville,KY,8:10 AM,36.8657651,-87.4889532
Hayes Junior High School,Junior High,1978-02-09,St. Albans,WV,8:00 AM,38.3789601,-81.81193031452082
Everett High School,High,1978-02-22,Lansing,MI,3:00 PM,42.7337712,-84.5553805
Monroe Elementary School,Elementary,1978-03-09,Santa Rosa,CA,,38.4404925,-122.7141049
Gallatin Junior High School,Junior High,1978-03-29,Nashville,TN,,36.1622767,-86.7742984
Fordson High School,High,1978-04-14,Detroit,MI,1:30 PM,42.3315509,-83.0466403
Paul Dunbar Elementary School,Elementary,1978-04-26,Dallas,TX,,32.7762719,-96.7968559
Ridgewood High School,High,1978-04-28,Norridge,IL,10:30 PM,41.9633641,-87.827284
Murchison Junior High School,Junior High,1978-05-18,Austin,TX,9:00 AM,30.2711286,-97.7436995
Downtown Junior High School,Junior High,1978-05-19,Philadelphia,PA,,39.9527237,-75.1635262
Dover Air High,High,1978-06-07,Dover,DE,,39.158168,-75.5243682
Weymouth South High School,High,1978-06-10,Weymouth,MA,,42.2212188,-70.9391625
Lanett Junior High School,Junior High,1978-10-17,Lanett,AL,,32.8687391,-85.1904971
University City High School,High,1978-10-17,University City,MO,10:15 AM,38.6569083,-90.3103443
Park West High School,High,1978-11-29,New York,NY,12:30 PM,40.7127281,-74.0060152
Wilbur Cross High School,High,1978-12-14,New Haven,CT,,41.3082138,-72.9250518
Grover Cleveland Elementary School,Elementary,1979-01-29,San Diego,CA,8:30 AM,32.7174202,-117.162772
Barstow High School,High,1979-02-26,Barstow,CA,,34.8986215,-117.0244313
Barstow High School,High,1979-02-26,Barstow,CA,,34.8986215,-117.0244313
McArthur High School North,High,1979-03-14,Miami,FL,2:20 PM,25.7741728,-80.19362
Los Angeles High School,High,1979-03-28,Los Angeles,CA,2:20 PM,34.0536909,-118.242766
Wisconsin Lutheran High School,High,1979-04-16,Milwaukee,WI,,43.0349931,-87.922497
Martin L. Mattei Junior High School,Junior High,1979-04-25,Hughestown,PA,,41.3270244,-75.7732488
Azle Junior High School,High,1979-04-26,Azle,TX,3:30 PM,32.8975875,-97.5437799
New Carlisle Elementary School,Elementary,1979-06-14,New Carlisle,OH,,39.9361699,-84.0254913
Carter G. Woodson Middle School,Middle,1979-09-26,New Orleans,LA,11:50 AM,29.9759983,-90.0782127
Charlestown High School,High,1979-09-28,Charlestown,MA,,42.3778749,-71.0619957
O Fallen Technical High School,High,1979-10-23,St. Louis,MO,,38.6280278,-90.1910154
Washington High School,High,1979-11-05,Indianapolis,IN,,39.7683331,-86.1583502
Unknown School,,1979-11-30,Lewisville,TX,,33.046233,-96.994174
Eastern High School,High,1979-12-03,Baltimore,MD,,39.2908816,-76.610759
Blewett Middle School,Middle,1979-12-21,St. Louis,MO,,38.6280278,-90.1910154
Stamps High School,High,1980-01-07,Stamps,AR,9:02 AM,33.3654024,-93.4951758
Lafayette High School,High,1980-01-29,Williamsburg,VA,8:05 AM,37.2708788,-76.7074042
Langdon Elementary School,Elementary,1980-02-01,"Washington, DC",DC,9:00 AM,38.8950368,-77.0365427
Valley View Elementary School,Elementary,1980-02-07,Longview,TX,10:30 AM,32.5007031,-94.74049
Arsenal Technical High School,High,1980-02-11,Indianapolis,IN,12:50 PM,39.7683331,-86.1583502
Hughes School,Other,1980-02-15,McComb,MS,1:40 PM,31.2437872,-90.4531536
J Leslie Patton School,High,1980-03-20,Dallas,TX,3:33 PM,32.7762719,-96.7968559
Frederick Douglass Senior High School,High,1980-03-31,Baltimore,MD,9:00 AM,39.2908816,-76.610759
Capeville Elementary School,Elementary,1980-04-17,Capeville,VA,10:15 AM,37.2029182,-75.9571528
Clara Barton High School,High,1980-05-30,Brooklyn,NY,9:30 AM,40.6526006,-73.9497211
Whittier High School,High,1980-09-02,Los Angeles,CA,,34.0536909,-118.242766
Forrest High School,High,1980-09-08,Jacksonville,FL,,30.3321838,-81.655651
Springarn High School,High,1980-09-10,Washington,DC,10:30 AM,4.6529539,-74.0835643
John S. Shaw High School,High,1980-09-11,Mobile,AL,,30.6913462,-88.0437509
Bridgeport Central High School,High,1980-09-26,Bridgeport,CT,8:55 AM,41.1792695,-73.1887863
Central High School,High,1980-10-13,Tuscaloosa,AL,,33.2095614,-87.5675258
Hueytown High School,High,1980-10-31,Hueytown,AL,,33.4512197,-86.9966606
Eastern Hills High School,High,1980-11-17,Fort Worth,TX,12:00 PM,32.753177,-97.3327459
Longfellow Junior HIgh School,Junior High,1980-12-12,Lorain,OH,9:00 AM,41.4673238,-82.1781904
Parker High School,High,1980-12-12,Birmingham,AL,3:00 PM,33.5206824,-86.8024326
Willetts Middle School,Junior High,1981-01-21,Brunswick,OH,9:30 AM,41.2456819,-81.8275398
Francis M. Wood Senior High School,High,1981-01-22,Baltimore,MD,2:00 PM,39.2908816,-76.610759
Little Rock Hall High School,High,1981-02-10,Little Rock,AR,,34.7465071,-92.2896267
Manuel Arts High School,High,1981-02-10,Los Angeles,CA,11:50 AM,34.0536909,-118.242766
Marshall High School ,High,1981-03-03,Indianapolis,IN,8:40 AM,39.7683331,-86.1583502
Dillard High School,High,1981-03-28,Fort Lauderdale,FL,9:00 PM,26.1223084,-80.1433786
Alexander Hamilton Junior High School,Junior High,1981-04-02,Cleveland,OH,7:45 AM,41.4996574,-81.6936772
Poplarville High School,High,1981-04-07,Poplarville,MS,,30.8401495,-89.5342315
New Iberia Junior HIgh School,Junior High,1981-05-15,New Iberia,LA,8:00 AM,30.0035365,-91.8187285
William Longstreth Elementary School,Elementary,1981-09-01,Philadelphia,PA,8:30 PM,39.9527237,-75.1635262
Hobbs High School,High,1981-09-04,Santa Fe,NM,10:15 AM,35.6876096,-105.938456
Stuart Middle School,Middle,1981-09-08,West Palm Beach,FL,,26.715364,-80.0532942
Aberdeen High School,High,1981-09-13,Aberdeen,MD,,39.5120347,-76.1643289
Hartford Public High School,High,1981-10-13,Hartford,CT,10:30 AM,41.764582,-72.6908547
George W. Wingate High School,High,1981-12-09,Brooklyn,NY,,40.6526006,-73.9497211
Unnamed school,High,1981-12-16,Houston,TX,7:45 AM,29.7589382,-95.3676974
James Madison High School,High,1981-12-23,Brooklyn,NY,10:00 AM,40.6526006,-73.9497211
Hamilton High School,High,1982-02-05,Memphis,TN,,35.1460249,-90.0517638
Dorchester High School,High,1982-02-08,Dorchester,MA,1:45 PM,42.2973205,-71.0744952
John McDonough Senior High,High,1982-02-09,New Orleans,LA,1:10 PM,29.9759983,-90.0782127
Springfield High School,High,1982-03-15,Springfield,OR,8:30 AM,44.0462362,-123.0220289
Lorain High School,High,1982-03-17,Lorain,OH,,41.4673238,-82.1781904
Valley High School,High,1982-03-19,Las Vegas,NV,7:50 AM,36.1672559,-115.148516
Deer Creek Junior High School,High,1982-04-07,Littleton,CO,,39.613321,-105.016649
Forest Park Senior High School,High,1982-04-15,Baltimore,MD,2:15 PM,39.2908816,-76.610759
Russell High School,High,1982-04-29,East Point,GA,10:30 AM,33.6795531,-84.4393724
Anniston High School,High,1982-04-30,Anniston,FL,7:25 AM,56.6208612,-2.5557134
Garside Junior High School,Junior High,1982-05-27,Las Vegas,NV,,36.1672559,-115.148516
Lake Braddock Secondary School,Other,1982-09-10,Burke,VA,1:45 PM,38.7771321,-77.2754691
South West Middle School,Middle,1982-09-15,Pine Bluff,AR,,34.2157064,-92.0140402
Elmont Memorial High School,High,1982-11-01,Elmont,NY,1:10 PM,40.7076444,-73.7093041
Cooley High School,High,1982-11-08,Detroit,MI,8:10 AM,42.3315509,-83.0466403
Wingfield High School,High,1982-11-12,Jackson,MS,,32.2998686,-90.1830408
Huntsville High School,High,1982-12-06,Huntsville,AL,11:45 AM,34.729847,-86.5859011
Finney High School,High,1982-12-20,Detroit,MI,8:55 AM,42.3315509,-83.0466403
John H. Reagan High School,High,1983-01-18,Houston,TX,10:25 AM,29.7589382,-95.3676974
Parkway South Middle School,Middle,1983-01-20,Baldwin,MO,11:50 AM,38.597712,-90.544305
William H. Lemmel Middle School,Middle,1983-01-28,Baltimore,MD,,39.2908816,-76.610759
West Ward School,High,1983-01-30,Coleman,TX,11:40 AM,31.8310249,-99.4244712
DeLand High School,High,1983-01-31,DeLand,FL,,29.0283213,-81.3031098
Riverdale High School,High,1983-02-01,Murfreesboro,TN,,35.8460396,-86.3921096
Albuquerque High School,High,1983-02-02,Alburquerque,NM,,35.128683,-106.579128
Santa Maria InCornata-Santa Lucia School,Other,1983-03-31,Chicago,IL,,41.8755616,-87.6244212
Beaumont High School,High,1983-04-21,St. Louis,MO,11:00 AM,38.6280278,-90.1910154
Brentwood High School,High,1983-05-16,New York,NY,12:45 PM,40.7127281,-74.0060152
Lake Highland High School,High,1983-05-16,Dallas,TX,,32.7762719,-96.7968559
North Miami Senior High School,High,1983-05-18,Miami,FL,2:30 PM,25.7741728,-80.19362
Mansfield Senior High School,High,1983-05-23,Mansfield,OH,8:05 AM,40.75839,-82.5154471
Greater Johnstown High School,High,1983-05-26,Johnstown,PA,,40.3267407,-78.9219698
Henry Ford High School,High,1983-09-12,Detroit,MI,8:45 AM,42.3315509,-83.0466403
Manuel Dominguez High School,High,1983-09-12,Compton,CA,,33.894927,-118.226624
Walbrook High School,High,1983-09-21,Baltimore,MD,11:00 AM,39.2908816,-76.610759
Temple High School,High,1983-09-30,Temple,TX,,31.098207,-97.3427847
Compton High School,High,1983-10-07,Los Angeles,CA,,34.0536909,-118.242766
Carver Vocational-Technical Senior High,High,1983-10-22,Baltimore,MD,11:00 PM,39.2908816,-76.610759
Highland Park High School,High,1983-11-08,Highland Park,MI,7:50 AM,42.4055981,-83.0965829
James G. Blaine Elementary School,Elementary,1983-11-17,Chicago,IL,,41.8755616,-87.6244212
Harlem Park Junior High School,Junior High,1983-11-18,Baltimore,MD,1:25 PM,39.2908816,-76.610759
Crawfordsville High School,High,1983-12-02,Crawfordsville,IN,11:50 AM,40.0401991,-86.8990249
Boylan Central Catholic High School,High,1983-12-16,Rockford,IL,,42.2713945,-89.093966
Lake Clifton Senior HIgh School,High,1984-01-05,Baltimore,MD,3:30 PM,39.2908816,-76.610759
Central High School,High,1984-02-06,Louisville,KY,,38.2542376,-85.759407
Sharpstown High School,High,1984-02-21,Houston,TX,,29.7589382,-95.3676974
49th Street Elementary School,Elementary,1984-02-24,Los Angeles,CA,2:23 PM,34.0536909,-118.242766
Clinton High School,High,1984-04-05,Clinton,LA,,30.8657362,-91.0156594
Precious Blood School,K-12,1984-04-20,Detroit,MI,,42.3315509,-83.0466403
Rose Hill Magnolia Elementary School,Elementary,1984-04-26,Wallace,NC,,34.735724,-77.9952628
C M Russell High School,High,1984-05-15,Great Falls,MT,2:30 PM,47.5048851,-111.29189
Booker T. Washington High School,High,1984-05-17,Houston,TX,10:45 AM,29.7589382,-95.3676974
Southeast Polk High School,High,1984-05-17,Pleasant Hill,IA,10:45 AM,41.5964843,-93.5148963
Norco High School,High,1984-05-18,Norco,CA,10:00 AM,33.9323307,-117.5508901
Cleveland Heights High School,High,1984-05-22,Cleveland Heights,OH,,41.5200518,-81.556235
Mumford High School,High,1984-07-10,Detroit,MI,11:15 AM,42.3315509,-83.0466403
Booker T. Washington High School,High,1984-08-31,Shreveport,LA,,32.5135356,-93.7477839
Millsap Elementary School,Elementary,1984-09-28,Houston,TX,8:40 AM,29.7589382,-95.3676974
Richland High School,High,1984-09-28,North Richland Hills,TX,,32.8342952,-97.2289029
Wyoming Area High School,High,1984-10-21,Exeter,PA,,41.3206358,-75.8190835
Central High School,High,1984-10-22,Detroit,MI,1:25 PM,42.3315509,-83.0466403
Southeastern High School,High,1984-10-24,Detroit,MI,11:20 AM,42.3315509,-83.0466403
West Elementary School Bus,Elementary,1984-10-24,Celina,OH,,40.5489358,-84.5702338
Pendleton High School,High,1984-10-30,Pendleton,SC,12:45 PM,34.6508092,-82.7820663
East Ascension High School,High,1984-10-31,Gonzales,LA,8:30 AM,30.2385294,-90.9200987
Wilbur Cross High School,High,1984-11-09,New Haven,CT,9:00 AM,41.3082138,-72.9250518
Millford Mill High School,High,1984-11-26,Rockdale,MD,12:45 PM,39.7012058,-77.8438853
Edwardsville High School,High,1984-12-07,St. Louis,MO,7:00 AM,38.6280278,-90.1910154
Arlington High School,High,1985-01-18,Arlington,TX,,32.7355816,-97.1071186
Goddard Junior High School,Junior High,1985-01-21,Goddard,KS,11:05 AM,37.6597363,-97.5753256
St. Gregory's High School,High,1985-01-26,Boston,MA,11:00 PM,42.3554334,-71.060511
A I Prince Technical High School,High,1985-02-05,Hartford,CT,2:30 PM,41.764582,-72.6908547
MacArthur Senior High School,High,1985-04-16,Aldine,TX,,29.899876900000002,-95.33736829765041
South Pittsburg High School,High,1985-04-18,South Pittsburg,TN,,35.0122635,-85.7058445
Parrott Junior High School,Junior High,1985-05-16,Brookville,FL,8:00 AM,45.403211,-64.5961762
Highland Park High School,High,1985-07-24,Highland Park,TX,9:30 AM,32.8334607,-96.7919454
East End Middle School (bus),Middle,1985-09-04,Richmond,VA,,37.5385087,-77.43428
Wheatley High School,High,1985-09-09,Houston,TX,,29.7589382,-95.3676974
Langham Creek High School,High,1985-09-20,Cypress,TX,12:20 PM,33.0440087,-95.2691103
Trotwood-Madison Senior High,High,1985-09-25,Trotwood,OH,2:30 PM,39.7972788,-84.3113334
Lake Clifton High School,High,1985-10-08,Baltimore,MD,3:00 PM,39.2908816,-76.610759
Murray-Wright High School,High,1985-10-18,Detroit,MI,,42.3315509,-83.0466403
Southern Hills Joint Vocational High School,High,1985-10-22,Georgetown,OH,,38.8645138,-83.9040944
Spanaway Junior High School,Junior High,1985-11-26,Spanaway,WA,4:20 PM,47.0979462,-122.4243422
Chelsea School,High,1985-11-27,Birmingham,AL,3:00 PM,33.5206824,-86.8024326
Concord High School,High,1985-12-03,Concord,NH,8:05 AM,43.207178,-71.537476
Archbishop Ryan High School,High,1985-12-09,Philadelphia,PA,,39.9527237,-75.1635262
Portland Junior High School,Junior High,1985-12-10,Portland,CT,12:30 PM,41.5728924,-72.6406905
Northern High School,High,1986-01-09,Durham,NC,4:00 PM,35.996653,-78.9018053
Vanguard Junior High School,Junior High,1986-01-17,Los Angeles,CA,,34.0536909,-118.242766
Lake Clifton High School,High,1986-01-29,Baltimore,MD,,39.2908816,-76.610759
Boyet Junior High School,Junior High,1986-02-24,Slidell,LA,,30.2751945,-89.7811745
Thornridge High School,High,1986-03-06,Dolton,IL,,41.6389236,-87.607268
Charles Drew Middle School,Middle,1986-04-23,Miami,FL,8:30 AM,25.7741728,-80.19362
Senath-Hornersville High School,High,1986-04-29,Senath,MO,,36.1342336,-90.1598183
Pine Forest High School,High,1986-05-09,Fayetteville,NC,9:30 AM,35.0525759,-78.878292
Carver High School,High,1986-05-15,Atlanta,GA,,33.7489924,-84.3902644
Cokeville Elementary School,Elementary,1986-05-16,Cokeville,WY,1:30 PM,42.0848242,-110.9566093
Maplewood High School,High,1986-05-17,Nashville,TN,7:00 AM,36.1622767,-86.7742984
Fairfax High School,High,1986-09-12,Los Angeles,CA,2:15 PM,34.0536909,-118.242766
Benicia High School ,High,1986-09-18,Benicia,CA,,38.049365,-122.1585777
Monrovia High School,High,1986-10-03,Monrovia,CA,,34.1483499,-118.0014517
South Oak Cliff High School,High,1986-10-08,Dallas,TX,4:00 PM,32.7762719,-96.7968559
Fergus High School,High,1986-12-04,Lewistown,MT,,47.0639275,-109.428213
Los Angeles High School,High,1987-01-14,Los Angeles,CA,,34.0536909,-118.242766
Redford High School,High,1987-01-23,Detroit,MI,8:05 AM,42.3315509,-83.0466403
Dardanelle High School,High,1987-02-10,Dardanelle,AR,12:30 PM,35.2231408,-93.1579532
Orme School,Other,1987-02-13,Mayer,AZ,8:30 PM,34.3978054,-112.2362734
Mount Tom Country Day School,Other,1987-02-24,New Rochelle,NY,8:30 AM,40.9115386,-73.7826363
Dekalb High School,High,1987-03-02,De Kalb,MO,8:25 AM,39.5869398,-94.9252426
Riverside High School,High,1987-03-06,El Paso,TX,,31.7550511,-106.488234
