CDCODE,year,school,city,state,address,urbanrural,race,killed,injured,victims,date,type,NCESSCH,time,Latitude,Longitude
3914.0,2012,Chardon High School,Chardon,Ohio,151 Chardon Ave,suburbtown,WHITE,3,3,6,27-Feb-12,High School,390471802789.0,7:30AM,41.5824944,-81.2034066
,2012,Episcopal School of Jacksonville,Jacksonville,Florida,4455 Atlantic Blvd,urban,WHITE,1,0,1,6-Mar-12,High School,259508.0,1:30PM,30.3321838,-81.655651
3704.0,2012,Mary Scroggs Elementary School,Chapel Hill,North Carolina,501 Kildaire Road,urban,WHITE,1,0,1,25-May-12,Elementary School,370072002474.0,2:00PM,35.9131542,-79.05578
2401.0,2012,Perry Hall High School,Baltimore,Maryland,4601 Ebenezer Road,suburbtown,WHITE,0,1,1,27-Aug-12,High School,240012000446.0,10:45AM,39.2908816,-76.610759
905.0,2012,Sandy Hook Elementary,Newtown,Connecticut,12 Dickenson Dr,suburbtown,WHITE,26,2,28,14-Dec-12,Elementary School,90291000617.0,9:30AM,41.4134764,-73.3086445
623.0,2013,Taft High School,Taft,California,701 Wildcat Way,suburbtown,WHITE,0,2,2,10-Jan-13,High School,63873006511.0,9:00AM,35.1424671,-119.456507
1305.0,2013,Price Middle School,Atlanta,Georgia,1670 Benjamin Weldon Bickers Dr SE,urban,BLACK,0,1,1,31-Jan-13,Middle School,130012000060.0,1:50PM,33.7489924,-84.3902644
615.0,2013,Hillside Elementary School,San Leandro,California,15980 Marcella St,suburbtown,HISP,1,0,1,13-Feb-13,Elementary School,63471005853.0,8:45PM,37.7249296,-122.1560768
1226.0,2013,Redland Middle School,Homestead,Florida,16001 SW 248th St,rural,HISP,0,1,1,24-May-13,Middle School,120039000578.0,,25.4718946,-80.4759905
1222.0,2013,Alexander W. Dreyfoos School of the Arts,West Palm Beach,Florida,501 S Sapodilla Ave,urban,WHITE,2,0,2,20-Jun-13,High School,120150002783.0,,26.715364,-80.0532942
2802.0,2013,North Panola High,Sardis,Mississippi,500 HWY 51 N,rural,BLACK,1,0,1,23-Aug-13,High School,280321000630.0,10:30PM,34.4370511,-89.9159227
,2013,Agape Christian Academy,Pine Hills,Florida,2425 N Hiawassee Rd,suburbtown,BLACK,0,2,2,4-Oct-13,PreK-12,,2:00PM,28.9497093,-81.4181225
3202.0,2013,Sparks Middle School,Sparks,Nevada,2275 18th St,suburbtown,HISP,1,2,3,21-Oct-13,Middle School,320048000247.0,7:00AM,39.5404679,-119.7487235
1304.0,2013,Stephenson High School,Stone Mountain,Georgia,701 Stephenson Rd,suburbtown,BLACK,0,1,1,3-Nov-13,High School,130174001553.0,,33.8080924,-84.1706273
1210.0,2013,West Orange High School,Winter Garden,Florida,1625 Beulah Rd,suburbtown,WHITE,0,1,1,4-Dec-13,High School,120144001454.0,1:15PM,28.5656649,-81.5856742
806.0,2013,Arapahoe High School,Centennial,Colorado,2201 E Dry Creek Rd,suburbtown,WHITE,1,0,1,13-Dec-13,High School,80531000873.0,12:33PM,39.579155,-104.8769227
616.0,2013,Edison High School,Fresno,California,540 E California Ave,urban,HISP,0,1,1,19-Dec-13,High School,61455001723.0,7:00PM,36.7394421,-119.78483
4708.0,2014,Liberty Technology Magnet High School,Jackson,Tennessee,3470 Ridgecrest Rd Exd,rural,BLACK,0,1,1,9-Jan-14,High School,470258002032.0,2:20PM,35.6144446,-88.8177418
3502.0,2014,Berrendo Middle School,Roswell,New Mexico,485 Calle Don Tomas,rural,WHITE,0,2,2,14-Jan-14,Middle School,350225000506.0,8:11AM,33.3943282,-104.5229518
4202.0,2014,Valley Charter High School,Philadelphia,Pennsylvania,5201 Old York Rd,urban,BLACK,0,2,2,17-Jan-14,High School,420007800563.0,3:30PM,39.9527237,-75.1635262
1903.0,2014,North High School,Des Moines,Iowa,501 Holcomb Ave,urban,WHITE,0,1,1,31-Jan-14,High School,190897000566.0,10:51PM,41.5910323,-93.6046655
3712.0,2014,Salisbury High School,Salisbury,North Carolina,500 Lincolnton Rd,suburbtown,BLACK,0,1,1,10-Feb-14,High School,370405002253.0,3:00PM,35.6709727,-80.4742261
2905.0,2014,Raytown Success Academy,Raytown,Missouri,10750 E Missouri,urban,,1,0,1,20-Feb-14,K-12,291640003220.0,10:30AM,39.0089226,-94.4622103
2205.0,2014,Madison Parish High School,Tallulah,Louisiana,1234 Madison High Dr,suburbtown,BLACK,0,1,1,7-Mar-14,High School,220105000780.0,11:15PM,32.4084539,-91.1869112
2614.0,2014,East English Village Preparatory Academy,Detroit,Michigan,5020 Cadieux Rd,urban,BLACK,1,0,1,11-Apr-14,High School,261200008306.0,9:30PM,42.3315509,-83.0466403
,2014,St. Mary Catholic School,Griffith,Indiana,525 N Broad Street,suburbtown,HISP,1,0,1,21-Apr-14,PreK-8,423263.0,4:30PM,41.534507,-87.4255305
1701.0,2014,Paul Robeson High School,Chicago,Illinois,400 West Normal Parkway,urban,BLACK,0,1,1,24-Apr-14,High School,170993000967.0,3:53PM,41.8755616,-87.6244212
5302.0,2014,Horizon Elementary School,Everett,Washington,222 W Casino Rd,urban,HISP,0,1,1,3-May-14,Elementary School,530543002320.0,6:30PM,47.9793437,-122.2127011
5504.0,2014,Clarke Street Elementary School,Milwaukee,Wisconsin,2816 W Clarke S,urban,BLACK,1,0,1,21-May-14,Elementary School,550960001140.0,7:00PM,43.0349931,-87.922497
4103.0,2014,Reynolds High School,Troutdale,Oregon,1698 SW Cherry Park Rd,suburbtown,WHITE,1,1,2,10-Jun-14,High School,411052001009.0,8:00AM,45.5317928,-122.391155
2908.0,2014,Kelly High School,Benton,Missouri,4035 State Hwy 77,rural,WHITE,1,0,1,23-Jun-14,High School,290489000059.0,8:15PM,37.098442500000004,-89.56217768816309
1224.0,2014,Stellar Leadership Academy,Miami,Florida,7900 NW 27th Ave,suburbtown,BLACK,0,1,1,9-Sep-14,High School,120039005495.0,12:51PM,25.7741728,-80.19362
2103.0,2014,Fern Creek High School,Louisville,Kentucky,9115 Fern Creek Rd,urban,WHITE,0,1,1,30-Sep-14,High School,210299000628.0,1:00PM,38.2542376,-85.759407
3708.0,2014,Albemarle High School,Albermarle,North Carolina,311 Park Ridge Rd,suburbtown,WHITE,0,1,1,30-Sep-14,High School,370432000022.0,7:40AM,35.9285296,-76.6398833
1313.0,2014,Langston Hughes High School,Fairburn,Georgia,7510 Hall Rd,rural,BLACK,1,0,1,3-Oct-14,High School,130228003913.0,10:00PM,33.5670562,-84.5810418
5302.0,2014,Marysville-Pilchuck High School,Marysville,Washington,5611 108th St NE,suburbtown,WHITE,4,1,5,24-Oct-14,High School,530486003317.0,10:40AM,48.0517429,-122.1768209
1224.0,2014,Miami Carol City High School,Miami Gardens,Florida,3301 Miami Gardens Dr,suburbtown,BLACK,1,1,2,20-Nov-14,High School,120039000595.0,4:00PM,25.9420377,-80.2456045
3701.0,2015,Kinston High School,Kinston,North Carolina,2601 North Queen Street,suburbtown,BLACK,0,1,1,15-Jan-15,High School,370261000585.0,2:45PM,35.2626635,-77.5816353
,2015,Wisconsin Lutheran High School,Milwaukee,Wisconsin,330 N. Glenview Ave,urban,WHITE,0,2,2,15-Jan-15,High School,1513554.0,7:30PM,43.0349931,-87.922497
101.0,2015,Williamson High School,Mobile,Alabama,1567 East Dublin Street,urban,BLACK,0,1,1,16-Jan-15,High School,10237000969.0,,30.6913462,-88.0437509
1211.0,2015,Vanguard High School,Ocala,Florida,7 Nw 28th Street,urban,WHITE,0,1,1,16-Jan-15,High School,120126001277.0,9:35PM,29.1871986,-82.1400923
3102.0,2015,Norris Middle School,Omaha,Nebraska,2235 South 46th Street,urban,HISP,0,1,1,27-Jan-15,Middle School,317482001415.0,9:00AM,41.2587459,-95.9383758
2406.0,2015,Frederick High School,Frederick,Maryland,650 Carroll Parkway,urban,WHITE,0,2,2,4-Feb-15,High School,240033000632.0,10:15PM,39.415779,-77.4127562
616.0,2015,Tenaya Middle School,Merced,California,760 W. Eighth St.,urban,HISP,1,0,1,15-Feb-15,Middle School,62460003696.0,6:55PM,37.3029568,-120.4843269
4828.0,2015,Judson High School,Converse,Texas,9142 FM 78,suburbtown,HISP,0,3,3,5-Mar-15,High School,482499002789.0,10:00AM,29.5180081,-98.3161241
,2015,Duval County school bus,Jacksonville,Florida,118th Street and Blanding Boulevard,,,0,2,2,14-May-15,K-12,,4:20PM,30.3321838,-81.655651
4828.0,2015,Elolf Elementary School,Converse,Texas,6335 Beech Trail,suburbtown,HISP,1,0,1,24-Jul-15,Elementary School,482499005819.0,1:00PM,29.5180081,-98.3161241
1312.0,2015,W.S. Hornsby K-8 School,Augusta,Georgia,310 Kentucky Avenue,urban,BLACK,0,1,1,25-Aug-15,Elementary School,130438003924.0,10:45AM,33.4709714,-81.9748429
2402.0,2015,Dulaney High School,Lutherville Timonium,Maryland,255 E Padonia Rd,suburbtown,WHITE,0,2,2,4-Sep-15,High School,240012000373.0,3:00PM,39.43997,-76.61099
2203.0,2015,Northside High School,Lafayette,Louisiana,301 Dunand Drive,urban,BLACK,0,1,1,11-Sep-15,High School,220087000686.0,9:55PM,30.2262187,-92.0178202
3709.0,2015,Central Elementary School,Statesville,North Carolina,4083 Wilkesboro Road,rural,WHITE,1,0,1,22-Sep-15,Elementary School,370231000983.0,3:00PM,35.7826363,-80.8872959
4600.0,2015,Harrisburg High School,Harrisburg,South Dakota,1300 West Willow St,rural,WHITE,0,1,1,30-Sep-15,High School,463135000264.0,10:00AM,43.4313466,-96.6985231
1701.0,2015,Excel Southwest High School,Chicago,Illinois,70th and Washtenaw,urban,BLACK,0,3,3,6-Nov-15,High School,170993006341.0,12:45PM,41.8755616,-87.6244212
501.0,2015,Sulphur Rock STEM Magnet elementary school,Sulphur Rock,Arkansas,480 N Main St,rural,WHITE,0,1,1,11-Nov-15,Elementary School,50001901092.0,7:00AM,35.751188,-91.5006905
504.0,2016,Harmony Grove High School,Camden,Arkansas,401 Ouachita Rd 88,rural,WHITE,0,1,1,13-Jan-16,High School,50729000443.0,3:00PM,33.5845582,-92.8343294
1807.0,2016,Lawrence Central High School,Indianapolis,Indiana,7300 E 56th St,suburbtown,BLACK,0,1,1,22-Jan-16,High School,180567001029.0,9:30PM,39.7683331,-86.1583502
4705.0,2016,Whites Creek High School,Whites Creek,Tennessee,7277 Old Hickory Blvd,rural,BLACK,1,0,1,29-Jan-16,High School,470318001386.0,8:10PM,36.2658869,-86.8308324
2602.0,2016,Muskegon Heights High School,Muskegon (Muskegon Heights),Michigan,2441 Sanford Street,suburbtown,BLACK,0,3,3,9-Feb-16,High School,260102906170.0,9:30PM,43.20276,-86.240273
407.0,2016,Independence High School,Glendale,Arizona,6602 N 75th Avenue,suburbtown,HISP,1,0,1,12-Feb-16,High School,40345000284.0,8:00AM,33.5386858,-112.185994
2701.0,2016,Faribault Middle School,Faribault,Minnesota,704 17th Street S.W.,suburbtown,WHITE,0,1,1,23-Feb-16,Middle School,271176000557.0,12:44PM,44.2949637,-93.268827
3908.0,2016,Madison Jr/Sr High School,Middletown,Ohio,5797 W Alexandria Rd,rural,WHITE,0,2,2,29-Feb-16,Grades 7-12,390461202443.0,11:15AM,39.516644,-84.4041725
107.0,2016,Huffman High School,Birmingham,Alabama,950 Springville Rd,urban,BLACK,0,1,1,15-Mar-16,High School,10039000141.0,2:25PM,33.5206824,-86.8024326
803.0,2016,East High School,Pueblo,Colorado,9 Mac Neil Road,urban,HISP,0,1,1,4-May-16,High School,80612001040.0,3:00PM,38.2544472,-104.609141
2404.0,2016,High Point High School,Beltsville,Maryland,3601 Powder Mill Road,suburbtown,HISP,1,1,2,5-May-16,High School,240051001059.0,5:00PM,39.0299081,-76.9149547
4504.0,2016,Southside High School,Greenville,South Carolina,6630 Frontage Road,suburbtown,BLACK,0,1,1,13-May-16,High School,450231000572.0,8:30AM,34.851354,-82.3984882
2004.0,2016,Augusta High School,Augusta,Kansas,2020 Ohio Street,suburbtown,WHITE,0,2,2,15-May-16,High School,200363000919.0,2:00PM,37.6913769,-96.9707179
2614.0,2016,Thompson K-8 International Academy,Southfield,Michigan,16300 Lincoln Avenue,urban,BLACK,0,2,2,21-May-16,K-8,263231008202.0,10:50PM,42.4733689,-83.2218731
2706.0,2016,Technical High School,Saint Cloud,Minnesota,233 S 12th Avenue,urban,WHITE,0,1,1,24-May-16,High School,273351001494.0,9:00AM,45.5616075,-94.1642004
621.0,2016,Woodrow Wilson Junior High School,Hanford,California,601 West Florinda Street,urban,HISP,0,1,1,30-Jun-16,Grades 7-8,61647002084.0,7:35PM,36.2931985,-119.64190149999999
3909.0,2016,Sandusky High School,Sandusky,Ohio,2130 Hayes Ave,suburbtown,BLACK,0,1,1,30-Jun-16,High School,390447401605.0,12:00AM,41.4561002,-82.7115813
635.0,2016,Chaffey High School,Ontario,California,1245 North Euclid Avenue,urban,HISP,0,1,1,21-Jul-16,High School,60816000791.0,9:33PM,34.065846,-117.64843
2908.0,2016,Ava High School,Ava,Missouri,507 NE 3rd St,suburbtown,WHITE,0,1,1,25-Jul-16,High School,290405000036.0,1:45AM,36.9519236,-92.6600096
3903.0,2016,Wedgewood Middle School,Columbus,Ohio,3800 Briggs Rd,urban,WHITE,0,2,2,17-Aug-16,Middle School,390438000731.0,8:10PM,39.9622601,-83.0007065
4001.0,2016,McLain High School,Tulsa,Oklahoma,4929 N Peoria Avenue,urban,BLACK,0,1,1,2-Sep-16,High School,403024001649.0,9:15PM,36.1563122,-95.9927516
4823.0,2016,Alpine High School,Alpine,Texas,704 W Sul Ross Ave,suburbtown,WHITE,0,1,1,8-Sep-16,High School,480795000124.0,9:00AM,30.3602181,-103.6628596
4904.0,2016,Kearns High School,Salt Lake City (Kearns),Utah,5525 Cougar Lane,suburbtown,WHITE,0,1,1,8-Sep-16,High School,490036000234.0,9:20PM,40.7596198,-111.886797
,2016,Smalls Athletic Field,York,Pennsylvania,31 Hamilton Ave,,,0,2,2,9-Sep-16,High School,,9:30PM,39.9624588,-76.7277218
2607.0,2016,T.A. Wilson Academy,Jackson,Michigan,310 West Morrell Street,urban,BLACK,0,1,1,26-Sep-16,High School,261962000871.0,2:30PM,42.2465036,-84.4016963
,2016,Elder High School,Cincinnati,Ohio,1915 Quebec Road,urban,WHITE,0,3,3,27-Sep-16,High School,1056755.0,9:45PM,39.1014537,-84.5124602
4503.0,2016,Townville Elementary,Townville,South Carolina,105 Townville School Road,rural,WHITE,1,2,3,28-Sep-16,Elementary School,450087000092.0,1:45PM,34.5637137,-82.8984775
101.0,2016,Vigor High School,Prichard,Alabama,913 N Wilson Ave,suburbtown,BLACK,0,1,1,11-Oct-16,High School,10237000964.0,3:45PM,30.7387998,-88.0788889
3903.0,2016,Linden-McKinley STEM Academy,Columbus,Ohio,1320 Duxberry Ave,urban,BLACK,0,2,2,13-Oct-16,Grades 7-12,390438000672.0,2:40PM,39.9622601,-83.0007065
1305.0,2016,Benjamin E. Mays High School,Atlanta,Georgia,3450 Benjamin E Mays Dr SW,urban,BLACK,0,1,1,15-Oct-16,High School,130012001865.0,11:27PM,33.7489924,-84.3902644
612.0,2016,June Jordan School for Equity,San Francisco,California,325 La Grande Ave,urban,HISP,0,3,3,18-Oct-16,High School,63441011252.0,3:17PM,37.7792588,-122.4193286
3615.0,2016,Mott Hall Charter School,Bronx,New York,1260 Franklin Avenue,urban,HISP,0,1,1,19-Oct-16,Elementary School,360107106328.0,2:00PM,40.8466508,-73.8785937
4904.0,2016,Union Middle School,Sandy,Utah,615 E 8000 South,suburbtown,WHITE,0,1,1,25-Oct-16,Middle School,490014200328.0,3:00PM,40.5710454,-111.8953815
4809.0,2016,Houston Can Academy,Houston,Texas,9745 Bissonnet Street,urban,,1,1,2,7-Nov-16,High School,480001613459.0,12:35PM,29.7589382,-95.3676974
1301.0,2016,Savannah High School,Savannah,Georgia,400 Pennsylvania Ave.,urban,BLACK,0,1,1,9-Nov-16,High School,130102004196.0,9:00PM,32.0790074,-81.0921335
2902.0,2016,Bayless High School,Saint Louis,Missouri,4532 Weber Road,suburbtown,WHITE,0,1,1,9-Dec-16,High School,290450000044.0,7:15PM,38.6280278,-90.1910154
3904.0,2017,West Liberty-Salem High School,West Liberty,Ohio,7208 US 68,rural,WHITE,0,2,2,20-Jan-17,High School,390462102472.0,7:35AM,40.2522771,-83.7557663
2613.0,2017,Mark Twain Elementary School,Detroit,Michigan,12800 Visger Street,urban,BLACK,1,0,1,25-Jan-17,Elementary School,260110304774.0,7:50AM,42.3315509,-83.0466403
1714.0,2017,Scullen Middle School,Naperville,Illinois,2815 Mistflower Lane,urban,WHITE,1,0,1,27-Jan-17,Elementary School,174169004354.0,7:30PM,41.7728699,-88.1479278
4502.0,2017,South Aiken High School,Aiken,South Carolina,232 E Pine Log Rd,suburbtown,WHITE,0,3,3,27-Jan-17,High School,450072001202.0,9:00PM,33.5616173,-81.7224579
101.0,2017,Palmer Pillans Middle School,Mobile,Alabama,2051 Military Rd,urban,BLACK,0,1,1,30-Jan-17,Middle School,10237000946.0,6:20PM,30.6913462,-88.0437509
102.0,2017,Lee High School,Montgomery,Alabama,225 Ann Street,urban,BLACK,0,1,1,16-Mar-17,High School,10243001035.0,3:00PM,32.3669656,-86.3006485
620.0,2017,King City High School,King City,California,720 Broadway Street,suburbtown,HISP,0,1,1,21-Mar-17,High School,61965002360.0,11:01AM,36.226559,-121.15856617878941
4214.0,2017,Linton Middle School,Pittsburgh (Penn Hills),Pennsylvania,250 Aster Street,suburbtown,BLACK,1,0,1,28-Mar-17,Middle School,421859005019.0,4:30PM,40.47582,-79.82558
631.0,2017,North Park Elementary School,San Bernardino,California,5378 N H St,urban,HISP,2,1,3,10-Apr-17,Elementary School,63417005375.0,10:27AM,34.1081621,-117.28946
4001.0,2017,Booker T. Washington High School,Tulsa,Oklahoma,1514 E Zion St,urban,WHITE,0,1,1,15-Apr-17,High School,403024001583.0,9:05AM,36.1563122,-95.9927516
2203.0,2017,Moss Bluff Elementary,Lake Charles (Moss Bluff),Louisiana,215 School St,rural,WHITE,0,1,1,15-May-17,Elementary School,220033000252.0,8:00AM,30.3013704,-93.1909374
4001.0,2017,McLain High School,Tulsa,Oklahoma,4929 N Peoria Ave,urban,BLACK,0,1,1,26-May-17,High School,403024001649.0,,36.1563122,-95.9927516
1702.0,2017,Warren Elementary School,Chicago,Illinois,9239 S Jeffery Ave,urban,BLACK,0,2,2,16-Jun-17,Elementary School,170993001166.0,1:45PM,41.8755616,-87.6244212
,2017,JFK Stadium,Springfield,Missouri,1333 S Grant Ave,,,0,1,1,22-Jun-17,High School,,6:45PM,37.2081729,-93.2922715
502.0,2017,North Little Rock High School,North Little Rock,Arkansas,101 W 22nd St,urban,BLACK,0,1,1,8-Sep-17,High School,51068001566.0,9:30PM,34.769536,-92.2670941
5305.0,2017,Freeman High School,Rockford,Washington,14626 S Jackson Rd,rural,WHITE,1,3,4,13-Sep-17,High School,530297000485.0,10:00AM,47.4521207,-117.130747
1715.0,2017,Mattoon High School,Mattoon,Illinois,2521 Walnut Ave,suburbtown,WHITE,0,1,1,20-Sep-17,High School,172505002734.0,11:30AM,39.4842821,-88.3773279
2802.0,2017,Callaway High School,Jackson,Mississippi,601 Beasley Rd,urban,BLACK,0,1,1,20-Sep-17,High School,280219000377.0,8:15PM,32.2998686,-90.1830408
2106.0,2017,Southern Middle School,Lexington,Kentucky,400 Wilson Downing Rd,urban,WHITE,0,1,1,28-Sep-17,Middle School,210186000394.0,7:30PM,38.0464066,-84.4970393
3702.0,2017,Rocky Mount High School,Rocky Mount,North Carolina,1400 Bethlehem Rd,urban,BLACK,0,1,1,19-Oct-17,High School,370327000763.0,4:00PM,35.9423833,-77.7956949
2608.0,2017,Pattengill Academy,Lansing,Michigan,626 Marshall St,urban,BLACK,0,1,1,3-Nov-17,Middle School,262115008414.0,4:30PM,42.7337712,-84.5553805
1313.0,2017,Banneker High School,Atlanta,Georgia,6015 Feldwood Rd,suburbtown,BLACK,0,2,2,9-Nov-17,High School,130228000967.0,3:30PM,33.7489924,-84.3902644
601.0,2017,Rancho Tehama Elementary School,Corning,California,17357 Stagecoach Rd,rural,HISP,0,1,1,14-Nov-17,Elementary School,60978004178.0,8:00AM,39.9276572,-122.179155
3503.0,2017,Aztec High School,Aztec,New Mexico,500 E Chaco St,suburbtown,WHITE,2,0,2,7-Dec-17,High School,350015000135.0,8:04AM,36.8220629,-107.992899
1713.0,2017,Champaign Central High School,Champaign,Illinois,610 W University Ave,urban,WHITE,0,3,3,8-Dec-17,High School,170942000546.0,9:20PM,40.1164841,-88.2430932
621.0,2017,Roosevelt Elementary,Hanford,California,870 Davis St,urban,HISP,0,1,1,11-Dec-17,Elementary School,61647002083.0,3:30PM,36.2931985,-119.64190149999999
2605.0,2017,Beecher High School,Mount Morris,Michigan,6255 Neff Rd,suburbtown,,0,1,1,19-Dec-17,High School,260450004133.0,9:15PM,43.118637,-83.694958
4806.0,2018,Italy High School,Italy,Texas,300 College St,rural,WHITE,0,1,1,22-Jan-18,High School,482445002740.0,7:50AM,32.1840381,-96.8847194
2101.0,2018,Marshall County High School,Benton,Kentucky,416 High School Road,rural,WHITE,2,14,16,23-Jan-18,High School,210381000976.0,8:57AM,36.8572781,-88.350315
4213.0,2018,Lincoln High School,Philadelphia,Pennsylvania,3201 Ryan Ave,urban,BLACK,1,0,1,31-Jan-18,High School,421899003845.0,3:51PM,39.9527237,-75.1635262
